Gene.name	Wormbase.ID	Transcript.name	Chromosome	Strand	Relative.loc.chromosome	GermlineExpression	Total.value.of.PATC.algorithm	PATC.density	Bin.size	Bases.with.PATC.60	Frequency.of.PATCs.60	stoekius_oocyte_rpkm	spermatogenic_gonad_fem.3_RPKM_Ortiz_2014	Gene.expression__Ortiz_2014	Germline_TPM_Serizay2020
homt-1	WBGene00022277	Y74C9A.3.1	I	-	0.000476632	TRUE	216794	36.5711875843455	5928	1376	0.232118758434548	15.4	59.9897	Gender Neutral	11.368
nlp-40	WBGene00022276	Y74C9A.2a.1	I	+	0.000936312	TRUE	194495	39.3316481294237	4945	999	0.202022244691608	2.1	16.212	Gender Neutral	6.204
rcor-1	WBGene00022278	Y74C9A.4a.1	I	-	0.00148244	TRUE	415977	46.9076454668471	8868	2348	0.264772214704556	58.4	33.4683	Oogenic	29.816
sesn-1	WBGene00022279	Y74C9A.5.1	I	-	0.00201563	TRUE	102834	24.4668094218415	4203	544	0.129431358553414	3.2	5.62365	Gender Neutral	21.321
txt-7	WBGene00022275	Y74C9A.1.1	I	+	0.0029328	FALSE	11886	12.5777777777778	945	59	0.0624338624338624	0.1	NA	NA	1.267
Y48G1C.12	WBGene00044345	Y48G1C.12.1	I	+	0.00321405	TRUE	173664	89.2874035989717	1945	850	0.437017994858612	25.4	36.4309	Gender Neutral	40.081
pgs-1	WBGene00021677	Y48G1C.4a.1	I	+	0.0034593	TRUE	176340	39.7162162162162	4440	1029	0.231756756756757	23	29.9477	Gender Neutral	25.17
Y48G1C.5	WBGene00021678	Y48G1C.5.1	I	-	0.00395945	FALSE	126948	14.6169257340242	8685	560	0.0644789867587795	0	36.1928	Spermatogenic	11.781
csk-1	WBGene00000812	Y48G1C.2b.1	I	+	0.00503462	TRUE	694485	77.8570627802691	8920	3389	0.379932735426009	48.5	22.5477	Gender Neutral	24.132
Y48G1C.10	WBGene00021683	Y48G1C.10a.1	I	+	0.00570047	TRUE	282461	30.1323874546618	9374	1672	0.178365692340516	20.8	13.376	Gender Neutral	19.578
Y48G1C.6	WBGene00021679	Y48G1C.6.1	I	-	0.00568372	FALSE	16612	13.4728304947283	1233	89	0.0721816707218167	1.1	1.65572	Gender Neutral	102.635
