"Gene.name"	"Wormbase.ID"	"Transcript.name"	"Chromosome"	"Strand"	"Relative.loc.chromosome"	"GermlineExpression"	"Total.value.of.PATC.algorithm"	"PATC.density"	"Bin.size"	"Bases.with.PATC.55"	"Frequency.of.PATCs.55"	"stoekius_oocyte_rpkm"	"spermatogenic_gonad_fem.3_RPKM_Ortiz_2014"	"Gene.expression__Ortiz_2014"
"abu-2"	"WBGene00000025"	"F19G12.7"	"X"	"-"	0.079561409479189	NA	3032	2	1817	0	0	NA	NA	NA
"abu-3"	"WBGene00000026"	"F31A3.1"	"X"	"+"	0.990687480098981	NA	2455	2	1031	0	0	NA	NA	NA
"abu-4"	"WBGene00000027"	"Y5H2A.3"	"V"	"+"	0.108746412045777	NA	3052	3	1096	0	0	NA	NA	NA
"abu-5"	"WBGene00000028"	"Y105C5A.4"	"IV"	"+"	0.891241963094529	NA	1092	1	1076	0	0	NA	NA	NA
"aex-5"	"WBGene00000088"	"F32A7.6"	"I"	"-"	0.985437952489956	NA	104201	19	5592	560	0.100143061516452	NA	0.808643	"Gender Neutral"
"ajm-1"	"WBGene00000100"	"C25A11.4a"	"X"	"+"	0.513912286636527	NA	132517	9	14979	246	0.0164229921890647	NA	2.59676	"Gender Neutral"
"cyp-44A1"	"WBGene00000375"	"ZK177.5.1"	"II"	"+"	0.36029372448079	NA	11746	6	1851	0	0	NA	NA	NA
"cdd-2"	"WBGene00000392"	"F49E8.4"	"IV"	"-"	0.431438165995563	NA	1738	3	642	0	0	NA	108.994	"Gender Neutral"
"ced-9"	"WBGene00000423"	"T07C4.8"	"III"	"+"	0.749891158469279	NA	87224	46	1909	487	0.255107386066003	NA	NA	NA
"ceh-20"	"WBGene00000443"	"F31E3.1"	"III"	"+"	0.50645217527444	NA	17868	11	1640	64	0.0390243902439024	NA	0.97818	"Oogenic"
"cku-70"	"WBGene00000519"	"Y47D3A.4"	"III"	"+"	0.809777868963721	NA	826689	59	13922	5174	0.371642005458986	NA	38.0329	"Gender Neutral"
"col-53"	"WBGene00000630"	"M01A12.1"	"I"	"+"	0.374561500816656	NA	12836	8	1578	0	0	NA	1.97295	"Spermatogenic"
"col-90"	"WBGene00000665"	"C29E4.1"	"III"	"+"	0.576724264954202	NA	3774	4	1018	0	0	NA	0.432507	"Gender Neutral"
"col-145"	"WBGene00000718"	"B0222.7"	"V"	"-"	0.437891855260278	NA	1596	2	939	0	0	NA	7.3812	"Gender Neutral"
"ctb-1"	"WBGene00000829"	"MTCE.21"	"MtDNA"	"+"	0.367007394519356	NA	19232	17	1110	91	0.081981981981982	NA	NA	NA
"dnj-20"	"WBGene00001038"	"T15H9.7a"	"II"	"-"	0.629659396125023	NA	57869	10	5531	71	0.0128367383836558	NA	104.883	"Gender Neutral"
"fkb-3"	"WBGene00001428"	"C05C8.3"	"V"	"+"	0.345334512511362	NA	5621	7	861	42	0.0487804878048781	NA	1.87458	"Gender Neutral"
"frm-9"	"WBGene00001495"	"F31B12.3a"	"X"	"-"	0.611086655173881	NA	307707	14	21683	1429	0.0659041645528755	NA	NA	NA
"gap-1"	"WBGene00001515"	"T24C12.2"	"X"	"+"	0.123818115099649	NA	28339	10	2845	81	0.0284710017574692	NA	0.719667	"Spermatogenic"
"gpd-2"	"WBGene00001684"	"K10B3.8.1"	"X"	"-"	0.175747598248248	NA	1438	1	1121	0	0	NA	NA	NA
"grl-24"	"WBGene00001733"	"F11E6.2"	"IV"	"-"	0.998959547392398	NA	4216	12	354	0	0	NA	NA	NA
"grl-30"	"WBGene00001739"	"T24A6.3"	"V"	"+"	0.169974044383101	NA	2280	4	519	0	0	NA	NA	NA
"gsp-2"	"WBGene00001748"	"F56C9.1"	"III"	"+"	0.532340389998376	NA	8722	6	1567	0	0	NA	250.64	"Gender Neutral"
"haf-8"	"WBGene00001818"	"Y57G11C.1"	"IV"	"-"	0.840124023162682	NA	135132	23	5909	928	0.157048569978	NA	NA	NA
"C50F4.6"	"WBGene00001910"	"C50F4.6"	"V"	"+"	0.456240818039225	NA	878	3	331	0	0	NA	NA	NA
"his-39"	"WBGene00001913"	"F45F2.2"	"V"	"+"	0.407973693592772	NA	4910	12	403	31	0.0769230769230769	NA	NA	NA
"his-40"	"WBGene00001914"	"K03A1.1"	"X"	"+"	0.412572319498534	NA	290	1	411	0	0	NA	NA	NA
"his-73"	"WBGene00001947"	"W09H1.2"	"II"	"+"	0.862836850951355	NA	1578	4	396	0	0	NA	11.0183	"Spermatogenic"
"ife-1"	"WBGene00002059"	"F53A2.6a"	"III"	"+"	0.968095012398975	NA	4915	5	903	53	0.0586932447397564	NA	1713.16	"Spermatogenic"
"ins-29"	"WBGene00002112"	"ZC334.10"	"I"	"+"	0.930124789400305	NA	34663	40	859	304	0.353899883585565	NA	NA	NA
"ins-36"	"WBGene00002119"	"Y53H1A.4a"	"I"	"-"	0.743991216017267	NA	41123	15	2666	220	0.0825206301575394	NA	NA	NA
"ins-38"	"WBGene00002121"	"C17C3.20"	"II"	"+"	0.36197147130117	NA	3370	8	428	0	0	NA	NA	NA
"klp-6"	"WBGene00002218"	"R144.1"	"III"	"+"	0.365192337004865	NA	59025	11	5397	257	0.0476190476190476	NA	NA	NA
"klp-12"	"WBGene00002223"	"T01G1.1a"	"IV"	"-"	0.648834168894643	NA	471099	26	18354	2672	0.145581344666013	NA	48.6169	"Gender Neutral"
"let-502"	"WBGene00002694"	"C10H11.9"	"I"	"-"	0.314566678480728	NA	92885	18	5307	775	0.146033540606746	NA	83.7868	"Gender Neutral"
"let-526"	"WBGene00002717"	"C01G8.9c"	"I"	"-"	0.3521302863227	NA	106968	9	11956	752	0.0628972900635664	NA	49.782	"Gender Neutral"
"let-765"	"WBGene00002889"	"F20H11.2"	"III"	"-"	0.478595780655858	NA	77296	10	7823	334	0.0426946184328263	NA	13.3908	"Oogenic"
"let-767"	"WBGene00002891"	"C56G2.6b"	"III"	"-"	0.459904963804977	NA	7131	5	1358	21	0.0154639175257732	NA	NA	NA
"lpd-3"	"WBGene00003060"	"Y47G6A.23"	"I"	"-"	0.236979906496854	NA	875852	66	13232	5406	0.408555018137848	NA	20.8616	"Gender Neutral"
"msp-58"	"WBGene00003451"	"ZK354.10"	"IV"	"+"	0.303461837885805	NA	240	1	234	0	0	NA	2348.66	"Spermatogenic"
"mtl-1"	"WBGene00003473"	"K11G9.6"	"V"	"-"	0.319803022149494	NA	2195	6	348	0	0	NA	NA	NA
"nas-2"	"WBGene00003521"	"F56A4.1"	"V"	"+"	0.117934800790282	NA	35687	22	1631	188	0.115266707541386	NA	NA	NA
"nas-16"	"WBGene00003535"	"K03B8.1"	"V"	"+"	0.544476294889453	NA	12067	8	1577	0	0	NA	NA	NA
"nas-30"	"WBGene00003548"	"Y95B8A.1"	"I"	"+"	0.0626961776711047	NA	47454	9	5287	258	0.0487989407981842	NA	NA	NA
"ndx-8"	"WBGene00003585"	"Y87G2A.14"	"I"	"+"	0.896009861446399	NA	35719	9	3927	100	0.0254647313470843	NA	NA	NA
"nhr-78"	"WBGene00003668"	"F36A4.14"	"IV"	"-"	0.244430593210897	NA	83022	25	3319	590	0.177764386863513	NA	0.322545	"Oogenic"
"nhr-96"	"WBGene00003686"	"F44C8.11"	"V"	"+"	0.106781245429928	NA	28623	17	1657	101	0.0609535304767652	NA	NA	NA
"nhr-119"	"WBGene00003709"	"K12H6.1"	"II"	"-"	0.183107003858327	NA	198892	36	5498	1144	0.208075663877774	NA	1.31684	"Gender Neutral"
"php-3"	"WBGene00004024"	"Y75B8A.1"	"III"	"-"	0.876095280249621	NA	49477	17	2897	295	0.101829478771143	NA	NA	NA
"pqn-15"	"WBGene00004106"	"C24A8.3"	"X"	"-"	0.243102635586256	NA	124898	15	8490	602	0.070906949352179	NA	0.189133	"Oogenic"
